 ,secID,ticker,exchangeCD,secShortName,secFullName,industryVersionCD,industry,industryID,industrySymbol,intoDate,outDate,isNew,industryID1,industryName1,industryID2,industryName2
6333,300071.XSHE,300071,XSHE,华谊嘉信,北京华谊嘉信整合营销顾问集团股份有限公司,10303,申万行业分类,10303260201,720201,2014/1/1,2015/10/31,0,1030326,传媒,103032602,营销传播
6334,300071.XSHE,300071,XSHE,华谊嘉信,北京华谊嘉信整合营销顾问集团股份有限公司,10303,申万行业分类,10303260201,720201,2015/11/2,,1,1030326,传媒,103032602,营销传播
6335,300071.XSHE,300071,XSHE,华谊嘉信,北京华谊嘉信整合营销顾问集团股份有限公司,10303,申万行业分类,10303340203,470203,2010/4/12,2011/10/10,0,1030334,信息服务,103033402,网络服务
6336,300071.XSHE,300071,XSHE,华谊嘉信,北京华谊嘉信整合营销顾问集团股份有限公司,10303,申万行业分类,10303340403,470403,2011/10/10,2014/1/1,0,1030334,信息服务,103033404,传媒
6337,300072.XSHE,300072,XSHE,三聚环保,北京三聚环保新材料股份有限公司,10303,申万行业分类,10303030309,220309,2010/1/16,2010/4/16,0,1030303,化工,103030303,化学制品
6338,300072.XSHE,300072,XSHE,三聚环保,北京三聚环保新材料股份有限公司,10303,申万行业分类,10303030309,220309,2010/4/16,2017/6/29,0,1030303,化工,103030303,化学制品
6339,300072.XSHE,300072,XSHE,三聚环保,北京三聚环保新材料股份有限公司,10303,申万行业分类,10303180401,410401,2017/6/29,,1,1030318,公用事业,103031804,环保工程及服务
6340,300073.XSHE,300073,XSHE,当升科技,北京当升材料科技股份有限公司,10303,申万行业分类,10303030309,220309,2014/1/1,2015/11/18,0,1030303,化工,103030303,化学制品
6341,300073.XSHE,300073,XSHE,当升科技,北京当升材料科技股份有限公司,10303,申万行业分类,10303030309,220309,2015/11/18,,1,1030303,化工,103030303,化学制品
6342,300073.XSHE,300073,XSHE,当升科技,北京当升材料科技股份有限公司,10303,申万行业分类,10303030701,220701,2010/4/16,2014/1/1,0,1030303,化工,103030307,化工新材料
6343,300074.XSHE,300074,XSHE,华平股份,华平信息技术股份有限公司,10303,申万行业分类,10303250201,710201,2014/1/1,2015/11/2,0,1030325,计算机,103032502,计算机应用
6344,300074.XSHE,300074,XSHE,华平股份,华平信息技术股份有限公司,10303,申万行业分类,10303250201,710201,2015/11/2,,1,1030325,计算机,103032502,计算机应用
